model,AUC,CI_low,CI_high,F1,recall,precision,brier,FN_rate_at90sens,FP_rate_at90sens
fusion_early_logreg,0.842,0.773,0.911,0.765,0.772,0.759,0.166,0.105,0.476
fusion_early_xgb,0.793,0.714,0.872,0.69,0.684,0.696,0.188,0.105,0.508
fusion_stacked,0.779,0.694,0.863,0.708,0.702,0.714,0.191,0.105,0.476
fusion_late_weighted,0.776,0.694,0.859,0.69,0.702,0.678,0.196,0.105,0.508
fusion_late_mean,0.759,0.674,0.843,0.637,0.632,0.643,0.202,0.105,0.587
handwriting_logreg,0.754,0.665,0.844,0.679,0.667,0.691,0.201,0.105,0.73
handwriting_xgb,0.751,0.664,0.838,0.655,0.649,0.661,0.212,0.105,0.524
oral_logreg,0.737,0.649,0.826,0.655,0.632,0.679,0.208,0.105,0.603
oral_xgb,0.657,0.558,0.755,0.627,0.649,0.607,0.259,0.105,0.794
reaction_logreg,0.607,0.505,0.71,0.549,0.544,0.554,0.256,0.105,0.937
reaction_xgb,0.527,0.421,0.634,0.496,0.491,0.5,0.316,0.105,0.952
