feature,modality,mean_abs_shap
dur_total,handwriting,0.6756752
hesitations_permin,oral,0.55275905
pause_rate_permin,oral,0.35172197
mean_pause_ms,oral,0.34377852
lapses_gt1s,reaction,0.28373706
age,handwriting,0.2801409
x_range,handwriting,0.26439735
alt_sd,handwriting,0.23451707
reading_wpm,oral,0.2236035
az_sd,handwriting,0.19826558
accuracy,reaction,0.19546695
rt_cv,reaction,0.19539931
v_sd,handwriting,0.18525806
rt_mean_ms,reaction,0.17255709
rt_sd_ms,reaction,0.14375639
stroke_rate,handwriting,0.14219786
errors_permin,oral,0.12636186
v_cv,handwriting,0.123409994
on_paper_ratio,handwriting,0.12001983
n_strokes,handwriting,0.09151777
v_mean,handwriting,0.08310105
pr_sd,handwriting,0.06212975
pr_cv,handwriting,0.061754163
y_range,handwriting,0.06048911
misses,reaction,0.058560316
accuracy_pct,oral,0.055845104
articulation_rate,oral,0.045180313
alt_mean,handwriting,0.039444137
a_sd,handwriting,0.03724216
pause_frac,handwriting,0.03349646
pitch_sd,oral,0.03108149
clicks_total,reaction,0.03088782
pen_lifts,handwriting,0.026952991
pr_mean,handwriting,0.023693537
jerk_proxy,handwriting,0.019263143
inair_time_ratio,handwriting,0.01401384
a_mean,handwriting,0.013964624
